source,target
57192923719,6603524750
36699721500,57192923719
36699721500,6603524750
24073352600,36699721500
24073352600,57192923719
24073352600,6603524750
57214865513,24073352600
57214865513,36699721500
57214865513,57192923719
57214865513,6603524750
57193748026,24073352600
57193748026,36699721500
57193748026,57192923719
57193748026,57214865513
57193748026,6603524750
7202169664,24073352600
7202169664,36699721500
7202169664,57192923719
7202169664,57193748026
7202169664,57214865513
7202169664,6603524750
26431291300,24073352600
26431291300,36699721500
26431291300,57192923719
26431291300,57193748026
26431291300,57214865513
26431291300,6603524750
26431291300,7202169664
57214866949,24073352600
57214866949,26431291300
57214866949,36699721500
57214866949,57192923719
57214866949,57193748026
57214866949,57214865513
57214866949,6603524750
57214866949,7202169664
57214864742,24073352600
57214864742,26431291300
57214864742,36699721500
57214864742,57192923719
57214864742,57193748026
57214864742,57214865513
57214864742,57214866949
57214864742,6603524750
57214864742,7202169664
57214866007,24073352600
57214866007,26431291300
57214866007,36699721500
57214866007,57192923719
57214866007,57193748026
57214866007,57214864742
57214866007,57214865513
57214866007,57214866949
57214866007,6603524750
57214866007,7202169664
57214867917,24073352600
57214867917,26431291300
57214867917,36699721500
57214867917,57192923719
57214867917,57193748026
57214867917,57214864742
57214867917,57214865513
57214867917,57214866007
57214867917,57214866949
57214867917,6603524750
57214867917,7202169664
57214865716,24073352600
57214865716,26431291300
57214865716,36699721500
57214865716,57192923719
57214865716,57193748026
57214865716,57214864742
57214865716,57214865513
57214865716,57214866007
57214865716,57214866949
57214865716,57214867917
57214865716,6603524750
57214865716,7202169664
6507702707,24073352600
6507702707,26431291300
6507702707,36699721500
6507702707,57192923719
6507702707,57193748026
6507702707,57214864742
6507702707,57214865513
6507702707,57214865716
6507702707,57214866007
6507702707,57214866949
6507702707,57214867917
6507702707,6603524750
6507702707,7202169664
57214867844,24073352600
57214867844,26431291300
57214867844,36699721500
57214867844,57192923719
57214867844,57193748026
57214867844,57214864742
57214867844,57214865513
57214867844,57214865716
57214867844,57214866007
57214867844,57214866949
57214867844,57214867917
57214867844,6507702707
57214867844,6603524750
57214867844,7202169664
57214865263,24073352600
57214865263,26431291300
57214865263,36699721500
57214865263,57192923719
57214865263,57193748026
57214865263,57214864742
57214865263,57214865513
57214865263,57214865716
57214865263,57214866007
57214865263,57214866949
57214865263,57214867844
57214865263,57214867917
57214865263,6507702707
57214865263,6603524750
57214865263,7202169664
57214866730,24073352600
57214866730,26431291300
57214866730,36699721500
57214866730,57192923719
57214866730,57193748026
57214866730,57214864742
57214866730,57214865263
57214866730,57214865513
57214866730,57214865716
57214866730,57214866007
57214866730,57214866949
57214866730,57214867844
57214866730,57214867917
57214866730,6507702707
57214866730,6603524750
57214866730,7202169664
57214866468,24073352600
57214866468,26431291300
57214866468,36699721500
57214866468,57192923719
57214866468,57193748026
57214866468,57214864742
57214866468,57214865263
57214866468,57214865513
57214866468,57214865716
