name,country,degree
"Kolosov, Vladimir",['Russian federation'],21.265476190476193
"O'Loughlin, John","['United states', 'Russian federation']",15.666666666666666
"Nefedova, Tatyana","['France', 'Russian federation']",14.875
"Zotova, Maria",['Russian federation'],12.39047619047619
"Leetmaa, Kadri","['Germany', 'Estonia']",11.933333333333334
"Treivish, A.I.",['Russian federation'],11.541666666666666
"Sebentsov, Alexander Borisovich",['Russian federation'],11.39047619047619
"Polese, Abel","['Hungary', 'United kingdom', 'Ireland', 'Estonia']",11.116666666666667
"Ryazantsev, Sergey V.",['Russian federation'],10.833333333333334
"Tammaru, Tiit","['Netherlands', 'Estonia']",10.6
"Karabulatova, Irina",['Russian federation'],10.557142857142857
"Alexeev, A.I.","['Department of economic and social geography of russia', 'Russian federation']",9.737499999999999
"Meslé, France",['France'],9.212698412698412
"Vallin, Jacques",['France'],9.212698412698412
"Nikulin, Alexander","['Russian presidential academy of national economy and public administration', 'Russian federation']",8.979166666666666
"Gerber, Theodore P.","['United states', 'University of wisconsin']",8.333333333333334
"Safronov, S.G.","['Department of economic and social geography of russia', 'Russian federation']",7.972222222222222
"Kuemmerle, Tobias",['Germany'],7.881944444444443
"Prishchepov, Alexander V.","['United states', 'Germany', 'Russian federation']",7.716666666666667
"Williams, Colin C.","['United kingdom', 'Poland']",7.666666666666666
