name,country,eigenvector
"Kolosov, Vladimir",['Russian federation'],0.5461269398682976
"O'Loughlin, John","['United states', 'Russian federation']",0.39162756864783094
"Zotova, Maria",['Russian federation'],0.3798635589409701
"Sebentsov, Alexander Borisovich",['Russian federation'],0.37159404396409773
"Gritsenko, Anton Alexeevich",['Russian federation'],0.2482349058563952
"Toal, Gerard",['United states'],0.22164081281382925
"Karpenko, M.S.",['Russian federation'],0.21547337742372802
"Vendina, Olga",['Russian federation'],0.10928647688490307
"Morachevskaya, Kira",['Russian federation'],0.10311945296426805
"Popov, Fedor Arkadyevich",['Russian federation'],0.10293743135899164
"Kolosov, Vladimir",['Russian federation'],0.10285200539742267
"Treivish, A.I.",['Russian federation'],0.10193844676184086
"Bakke, Kristin M.","['United kingdom', 'Norway']",0.08944623632060404
"Turov, N.L.",['Russian federation'],0.08512527305602342
"Nefedova, Tatyana","['France', 'Russian federation']",0.06430853421206521
"Holland, Edward C.",['United states'],0.06011893549171202
"Linke, Andrew M.",['United states'],0.05435531779137084
"Panin, A.N.",['Russian federation'],0.04849666614888653
"Perepechko, Alexander",['United states'],0.04585225559660897
"ZumBrunnen, Craig",['United states'],0.045433166978511325
