name,country,pagerank
"Kolosov, Vladimir",['Russian federation'],0.005258185807355048
"Nefedova, Tatyana","['France', 'Russian federation']",0.004532936613512689
"Karabulatova, Irina",['Russian federation'],0.004464744455084519
"O'Loughlin, John","['United states', 'Russian federation']",0.004153228008029857
"Ryazantsev, Sergey V.",['Russian federation'],0.004005017277682186
"Gerber, Theodore P.","['United states', 'University of wisconsin']",0.004003084342952807
"Polese, Abel","['Hungary', 'United kingdom', 'Ireland', 'Estonia']",0.003759768631926611
"Alexeev, A.I.","['Department of economic and social geography of russia', 'Russian federation']",0.0037477692654133885
"Nikulin, Alexander","['Russian presidential academy of national economy and public administration', 'Russian federation']",0.0036898413983129387
"Leetmaa, Kadri","['Germany', 'Estonia']",0.0035070682256451552
"Treivish, A.I.",['Russian federation'],0.003385356098230572
"Kuemmerle, Tobias",['Germany'],0.0032530286030267256
"Prishchepov, Alexander V.","['United states', 'Germany', 'Russian federation']",0.0031447176680751148
"Tammaru, Tiit","['Netherlands', 'Estonia']",0.0031372031422965624
"Mamychev, Aleksei",['Russian federation'],0.0031267781868478534
"Radeloff, Volker C.",['United states'],0.0030519761094393288
"Zotova, Maria",['Russian federation'],0.002714920685330094
"Gentile, Michael","['Finland', 'Sweden', 'Norway']",0.002714529520463193
"Meslé, France",['France'],0.002641422246178058
"Vallin, Jacques",['France'],0.002641422246178058
