country,count
Russian Federation,7425
United States,6804
United Kingdom,2635
Germany,1462
Kazakhstan,1227
Ukraine,1197
Poland,782
Israel,688
Canada,657
France,601
Estonia,557
Lithuania,524
Australia,504
China,499
Italy,457
Finland,417
Sweden,354
Czech Republic,348
Turkey,331
Netherlands,315
Hungary,291
Spain,277
Latvia,276
Japan,265
Norway,252
India,239
Switzerland,232
Romania,231
Austria,213
Georgia,204
South Korea,165
Brazil,156
Iran,155
Belgium,151
Azerbaijan,139
Kyrgyzstan,122
Armenia,121
Denmark,111
Belarus,111
Uzbekistan,108
Slovakia,104
South Africa,89
Ireland,87
Greece,83
Serbia,80
Hong Kong,79
New Zealand,71
Pakistan,70
Bulgaria,69
Moldova,66
Singapore,65
Slovenia,65
Malaysia,58
Mexico,57
Croatia,53
Tajikistan,49
Mongolia,46
Portugal,45
Taiwan,44
Argentina,43
Viet Nam,42
Cuba,40
Chile,35
United Arab Emirates,28
Nigeria,28
Colombia,25
Indonesia,23
Cyprus,15
Egypt,14
Philippines,13
Jordan,13
Russia,12
Afghanistan,12
Lebanon,12
Albania,11
Thailand,11
Luxembourg,8
Bosnia and Herzegovina,8
Saudi Arabia,8
University of Tehran,8
University of London,7
Algeria,7
Peru,7
Iraq,7
Bangladesh,7
Macao,6
Tunisia,6
Qatar,5
Turkmenistan,5
Kuwait,5
RAS,5
Almaty,5
Palestine,5
Cameroon,5
050010,5
Tanzania,4
USA,4
Montenegro,4
Uruguay,4
Iceland,4
University of Washington,4
Moscow,4
Institute of Cultural Heritage,4
Academy of Federal Penitentiary Service of Russia,4
Russian Republic,3
Ethiopia,3
Malta,3
Costa Rica,3
Russian Academy of Sciences,3
IRIS,3
United States Holocaust Memorial Museum,3
Large in Mercy Corps,3
Sri Lanka,3
Morocco,3
International Union Against Tuberculosis and Lung Disease (Iuatld),3
Aga-Khan Foundation in Kyrgyzstan,3
Madagascar,3
Ecuador,3
The New School for Social Research,3
Kenya,3
