name,id,label,size
FSUS,FSUS,FSUS,10932
Soviet_self,Soviet_self,,0
China,China,China,573
China_self,China_self,,0
Finland,Finland,Finland,1614
Finland_self,Finland_self,,0
France,France,France,674
France_self,France_self,,0
Germany,Germany,Germany,1778
Germany_self,Germany_self,,0
Israel,Israel,Israel,763
Israel_self,Israel_self,,0
Norway,Norway,Norway,637
Norway_self,Norway_self,,0
Poland,Poland,Poland,734
Poland_self,Poland_self,,0
Russia,Russia,Russia,28400
Russia_self,Russia_self,,0
Spain,Spain,Spain,617
Spain_self,Spain_self,,0
Sweden,Sweden,Sweden,609
Sweden_self,Sweden_self,,0
UK,UK,UK,2044
UK_self,UK_self,,0
USA,USA,USA,4794
US_self,US_self,,0
