id, label, degree
russia,russia,1990
soviet union,soviet union,1050
cold war,cold war,770
ukraine,ukraine,692
ussr,ussr,668
central asia,central asia,519
china,china,387
kazakhstan,kazakhstan,379
communism,communism,349
identity,identity,310
nationalism,nationalism,304
migration,migration,290
post-soviet,post-soviet,261
ideology,ideology,255
georgia,georgia,248
gender,gender,247
estonia,estonia,229
world war ii,world war ii,228
socialism,socialism,227
eastern europe,eastern europe,218
foreign policy,foreign policy,218
history,history,212
national identity,national identity,211
israel,israel,196
kyrgyzstan,kyrgyzstan,195
european union,european union,193
poland,poland,191
marxism,marxism,188
culture,culture,188
memory,memory,188
former soviet union,former soviet union,184
geopolitics,geopolitics,182
propaganda,propaganda,180
belarus,belarus,179
united states,united states,178
lithuania,lithuania,176
education,education,171
historiography,historiography,164
democracy,democracy,161
tajikistan,tajikistan,158
armenia,armenia,156
revolution,revolution,156
latvia,latvia,154
azerbaijan,azerbaijan,152
transition,transition,146
authoritarianism,authoritarianism,145
uzbekistan,uzbekistan,145
stalinism,stalinism,143
nato,nato,141
ethnicity,ethnicity,140
post-soviet space,post-soviet space,140
germany,germany,140
islam,islam,140
religion,religion,138
soviet,soviet,137
stalin,stalin,132
international relations,international relations,131
usa,usa,131
higher education,higher education,131
siberia,siberia,123
corruption,corruption,119
security,security,119
politics,politics,119
civil society,civil society,118
globalization,globalization,117
development,development,117
afghanistan,afghanistan,116
great patriotic war,great patriotic war,116
post-soviet countries,post-soviet countries,113
second world war,second world war,113
democratization,democratization,112
human rights,human rights,108
modernization,modernization,104
moldova,moldova,104
integration,integration,104
socialist realism,socialist realism,104
russian revolution,russian revolution,104
immigration,immigration,103
europe,europe,103
perestroika,perestroika,101
historical memory,historical memory,101
civil war,civil war,100
agriculture,agriculture,98
yugoslavia,yugoslavia,96
state,state,95
cuba,cuba,94
russian federation,russian federation,94
women,women,94
mongolia,mongolia,92
holocaust,holocaust,91
immigrants,immigrants,90
collective memory,collective memory,89
russian,russian,88
war,war,88
caucasus,caucasus,88
language policy,language policy,88
power,power,86
censorship,censorship,85
diaspora,diaspora,84
neoliberalism,neoliberalism,84
hungary,hungary,84
modernity,modernity,83
turkey,turkey,83
romania,romania,82
nation-building,nation-building,82
translation,translation,82
iran,iran,82
russian empire,russian empire,80
czechoslovakia,czechoslovakia,80
baltic states,baltic states,79
post-socialism,post-socialism,79
north korea,north korea,79
india,india,78
tuva,tuva,77
emigration,emigration,76
nuclear weapons,nuclear weapons,76
eurasian economic union,eurasian economic union,76
youth,youth,76
transformation,transformation,75
post-communism,post-communism,75
eurasia,eurasia,75
soft power,soft power,74
diplomacy,diplomacy,74
sovereignty,sovereignty,73
post-soviet russia,post-soviet russia,73
institutions,institutions,72
finland,finland,72
russian orthodox church,russian orthodox church,71
middle east,middle east,71
putin,putin,70
conflict,conflict,70
refugees,refugees,69
totalitarianism,totalitarianism,69
cooperation,cooperation,68
japan,japan,68
constructivism,constructivism,68
africa,africa,68
moscow,moscow,68
crimea,crimea,67
the ussr,the ussr,66
family,family,66
soviet cinema,soviet cinema,66
citizenship,citizenship,64
colonialism,colonialism,64
terrorism,terrorism,64
public opinion,public opinion,64
empire,empire,64
urbanization,urbanization,63
architecture,architecture,63
ethnic identity,ethnic identity,62
capitalism,capitalism,62
lenin,lenin,61
governance,governance,61
soviet russia,soviet russia,61
elections,elections,61
adaptation,adaptation,61
international law,international law,61
media,media,60
violence,violence,60
collectivization,collectivization,60
narrative,narrative,59
reform,reform,59
literature,literature,58
the soviet union,the soviet union,57
environment,environment,57
soviet period,soviet period,57
oral history,oral history,57
france,france,56
science,science,56
ethnography,ethnography,56
north caucasus,north caucasus,56
economy,economy,56
language,language,56
eu,eu,55
sustainable development,sustainable development,55
russian foreign policy,russian foreign policy,54
liberalism,liberalism,54
trade,trade,53
comintern,comintern,53
discourse,discourse,53
vietnam,vietnam,53
nation,nation,53
postsocialism,postsocialism,53
cis,cis,53
law,law,53
intelligence,intelligence,52
