source,target
Akshalov K,Abdullaev I
Alcantara C,Abdullaev I
Alcántara C,Alcantara C
Baumann M,Alcantara C
Bragina EV,Alcantara C
Bragina EV,Baumann M
Bun R,Alcantara C
Bun R,Alcántara C
Chaskovskyy O,Baumann M
Chaskovskyy O,Bragina EV
Chaskovskyy O,Alcántara C
Chaskovskyy O,Bun R
Chaskovskyy O,Alcantara C
Chaskovskyy O,Abdullaev I
Conrad C,Alcantara C
Conrad C,Akshalov K
Conrad C,Chaskovskyy O
Conrad C,Abdullaev I
Dubinin M,Alcántara C
Dubinin M,Bun R
Dubinin M,Abdullaev I
Dubinin M,Bragina EV
Dubinin M,Chaskovskyy O
Dubinin M,Baumann M
Dubinin M,Alcantara C
Dubrovskaya S,Dubinin M
Dubrovskaya S,Conrad C
Dubrovskaya S,Bragina EV
Dubrovskaya S,Akshalov K
Dubrovskaya S,Baumann M
Dubrovskaya S,Abdullaev I
Dubrovskaya S,Alcantara C
Dubrovskaya S,Chaskovskyy O
Dubrovskaya S,Bun R
Dubrovskaya S,Alcántara C
Dürauer M,Dubinin M
Dürauer M,Chaskovskyy O
Dürauer M,Dubrovskaya S
Dürauer M,Alcantara C
Dürauer M,Bun R
Dürauer M,Alcántara C
Estel S,Dubinin M
Estel S,Chaskovskyy O
Estel S,Dubrovskaya S
Estel S,Alcantara C
Estel S,Alcántara C
Estel S,Bun R
Estel S,Dürauer M
Fliemann E,Bun R
Fliemann E,Alcántara C
Fliemann E,Estel S
Fliemann E,Dürauer M
Fliemann E,Dubinin M
Fliemann E,Dubrovskaya S
Fliemann E,Akshalov K
Fliemann E,Alcantara C
Fliemann E,Chaskovskyy O
Fliemann E,Conrad C
Fliemann E,Abdullaev I
Fritz S,Fliemann E
Fritz S,Dubinin M
Fritz S,Chaskovskyy O
Fritz S,Dubrovskaya S
Fritz S,Alcantara C
Fritz S,Bun R
Fritz S,Alcántara C
Fritz S,Dürauer M
Fritz S,Estel S
Gehlbach S,Bragina EV
Grudinin D,Dubinin M
Grudinin D,Conrad C
Grudinin D,Bragina EV
Grudinin D,Akshalov K
Grudinin D,Baumann M
Grudinin D,Abdullaev I
Grudinin D,Alcantara C
Grudinin D,Fliemann E
Grudinin D,Chaskovskyy O
Grudinin D,Dürauer M
Grudinin D,Estel S
Grudinin D,Bun R
Grudinin D,Fritz S
Grudinin D,Alcántara C
Grudinin D,Dubrovskaya S
Havlik P,Fliemann E
Havlik P,Dubinin M
Havlik P,Chaskovskyy O
Havlik P,Dubrovskaya S
Havlik P,Grudinin D
Havlik P,Alcantara C
Havlik P,Alcántara C
Havlik P,Dürauer M
Havlik P,Estel S
Havlik P,Fritz S
Havlik P,Bun R
Hostert P,Bun R
Hostert P,Havlik P
Hostert P,Estel S
Hostert P,Dürauer M
Hostert P,Fritz S
Hostert P,Alcántara C
Hostert P,Dubrovskaya S
Hostert P,Grudinin D
Hostert P,Bragina EV
Hostert P,Conrad C
Hostert P,Abdullaev I
Hostert P,Fliemann E
Hostert P,Chaskovskyy O
Hostert P,Dubinin M
Hostert P,Alcantara C
Hostert P,Baumann M
Hu Y,Conrad C
Hu Y,Dubrovskaya S
Hu Y,Grudinin D
Hu Y,Abdullaev I
Hu Y,Fliemann E
Hu Y,Akshalov K
Karminov V,Hostert P
Karminov V,Fliemann E
Karminov V,Dubinin M
Karminov V,Chaskovskyy O
Karminov V,Grudinin D
Karminov V,Dubrovskaya S
Karminov V,Alcantara C
Karminov V,Alcántara C
Karminov V,Fritz S
Karminov V,Estel S
Karminov V,Dürauer M
Karminov V,Bun R
Karminov V,Havlik P
Keuler NS,Havlik P
Keuler NS,Dürauer M
Keuler NS,Estel S
Keuler NS,Karminov V
Keuler NS,Bun R
Keuler NS,Fritz S
Keuler NS,Alcántara C
Keuler NS,Grudinin D
Keuler NS,Dubrovskaya S
Keuler NS,Bragina EV
Keuler NS,Conrad C
Keuler NS,Abdullaev I
Keuler NS,Fliemann E
Keuler NS,Chaskovskyy O
Keuler NS,Dubinin M
Keuler NS,Alcantara C
Keuler NS,Baumann M
Keuler NS,Hostert P
Kraxner F,Keuler NS
Kraxner F,Hostert P
Kraxner F,Fliemann E
Kraxner F,Dubinin M
Kraxner F,Chaskovskyy O
Kraxner F,Dubrovskaya S
Kraxner F,Grudinin D
Kraxner F,Alcantara C
Kraxner F,Karminov V
Kraxner F,Havlik P
Kraxner F,Fritz S
Kraxner F,Estel S
Kraxner F,Dürauer M
Kraxner F,Alcántara C
Kraxner F,Bun R
Kruhlov I,Dürauer M
Kruhlov I,Estel S
Kruhlov I,Fritz S
Kruhlov I,Havlik P
Kruhlov I,Alcántara C
Kruhlov I,Kraxner F
Kruhlov I,Bun R
Kruhlov I,Karminov V
Kruhlov I,Conrad C
Kruhlov I,Abdullaev I
Kruhlov I,Grudinin D
Kruhlov I,Dubrovskaya S
Kruhlov I,Bragina EV
Kruhlov I,Fliemann E
Kruhlov I,Chaskovskyy O
Kruhlov I,Dubinin M
Kruhlov I,Alcantara C
Kruhlov I,Baumann M
Kruhlov I,Hostert P
Kruhlov I,Keuler NS
Kuemmerle T,Grudinin D
Kuemmerle T,Dubrovskaya S
Kuemmerle T,Fritz S
Kuemmerle T,Estel S
Kuemmerle T,Havlik P
Kuemmerle T,Dürauer M
Kuemmerle T,Karminov V
Kuemmerle T,Bun R
Kuemmerle T,Kraxner F
Kuemmerle T,Alcántara C
Kuemmerle T,Dubinin M
Kuemmerle T,Alcantara C
Kuemmerle T,Keuler NS
Kuemmerle T,Hostert P
Kuemmerle T,Bragina EV
Kuemmerle T,Kruhlov I
Kuemmerle T,Baumann M
Kussul N,Kruhlov I
Kussul N,Kuemmerle T
Kussul N,Chaskovskyy O
Kussul N,Grudinin D
Kussul N,Dubrovskaya S
Kussul N,Alcantara C
Kussul N,Fritz S
Kussul N,Estel S
Kussul N,Bun R
Kussul N,Karminov V
Kussul N,Dürauer M
Kussul N,Alcántara C
Kussul N,Havlik P
Kussul N,Kraxner F
Kutovaya O,Hostert P
Kutovaya O,Keuler NS
Kutovaya O,Fliemann E
Kutovaya O,Dubinin M
Kutovaya O,Kruhlov I
Kutovaya O,Kuemmerle T
Kutovaya O,Chaskovskyy O
Kutovaya O,Dubrovskaya S
Kutovaya O,Grudinin D
Kutovaya O,Alcantara C
Kutovaya O,Kussul N
Kutovaya O,Kraxner F
Kutovaya O,Karminov V
Kutovaya O,Havlik P
Kutovaya O,Fritz S
Kutovaya O,Estel S
Kutovaya O,Dürauer M
Kutovaya O,Alcántara C
Kutovaya O,Bun R
Lai C,Conrad C
Lai C,Dubrovskaya S
Lai C,Grudinin D
Lai C,Abdullaev I
Lai C,Fliemann E
Lai C,Hu Y
Lai C,Akshalov K
Lamers JPA,Alcantara C
Lamers JPA,Hu Y
Lamers JPA,Akshalov K
Lamers JPA,Lai C
Lamers JPA,Grudinin D
Lamers JPA,Dubrovskaya S
Lamers JPA,Hostert P
