source,target,count
050010,050010,10
050010,Australia,35
Australia,050010,35
050010,Azerbaijan,10
Azerbaijan,050010,10
050010,Belgium,5
Belgium,050010,5
050010,Brazil,20
Brazil,050010,20
050010,Canada,65
Canada,050010,65
050010,China,15
China,050010,15
050010,Colombia,10
Colombia,050010,10
050010,Cuba,10
Cuba,050010,10
050010,Czech republic,20
Czech republic,050010,20
050010,Denmark,10
Denmark,050010,10
050010,Durham university,5
Durham university,050010,5
050010,Estonia,80
Estonia,050010,80
050010,Finland,35
Finland,050010,35
050010,France,5
France,050010,5
050010,Germany,80
Germany,050010,80
050010,Hong kong,5
Hong kong,050010,5
050010,Iceland,5
Iceland,050010,5
050010,India,5
India,050010,5
050010,Israel,20
Israel,050010,20
050010,Italy,25
Italy,050010,25
050010,Japan,5
Japan,050010,5
050010,Kazakhstan,10
Kazakhstan,050010,10
050010,Lithuania,15
Lithuania,050010,15
050010,Netherlands,15
Netherlands,050010,15
050010,Norway,5
Norway,050010,5
050010,Oxford brookes university,5
Oxford brookes university,050010,5
050010,Poland,35
Poland,050010,35
050010,Ras,5
Ras,050010,5
050010,Romania,5
Romania,050010,5
050010,Russian federation,230
Russian federation,050010,230
050010,Slovakia,5
Slovakia,050010,5
050010,Slovenia,5
Slovenia,050010,5
050010,South korea,5
South korea,050010,5
050010,Sweden,15
Sweden,050010,15
050010,Ukraine,45
Ukraine,050010,45
050010,United kingdom,340
United kingdom,050010,340
050010,United states,445
United states,050010,445
050010,University of wolverhampton,5
University of wolverhampton,050010,5
050010,empty,310
empty,050010,310
264 bay state road,Belarus,2
Belarus,264 bay state road,2
264 bay state road,Canada,3
Canada,264 bay state road,3
264 bay state road,Canada (fax: +1 613 788 4064),1
Canada (fax: +1 613 788 4064),264 bay state road,1
264 bay state road,China,1
China,264 bay state road,1
264 bay state road,Denmark,1
Denmark,264 bay state road,1
264 bay state road,Germany,2
Germany,264 bay state road,2
264 bay state road,Israel,5
Israel,264 bay state road,5
264 bay state road,Kazakhstan,1
Kazakhstan,264 bay state road,1
264 bay state road,Russian federation,21
Russian federation,264 bay state road,21
264 bay state road,Sweden,6
Sweden,264 bay state road,6
264 bay state road,United kingdom,9
United kingdom,264 bay state road,9
264 bay state road,United states,19
United states,264 bay state road,19
264 bay state road,empty,13
empty,264 bay state road,13
Academy of federal penitentiary service of russia,Academy of federal penitentiary service of russia,3
Academy of federal penitentiary service of russia,Austria,6
Austria,Academy of federal penitentiary service of russia,6
Academy of federal penitentiary service of russia,Canada,3
Canada,Academy of federal penitentiary service of russia,3
Academy of federal penitentiary service of russia,Estonia,9
Estonia,Academy of federal penitentiary service of russia,9
Academy of federal penitentiary service of russia,Georgia,15
Georgia,Academy of federal penitentiary service of russia,15
Academy of federal penitentiary service of russia,Germany,3
Germany,Academy of federal penitentiary service of russia,3
Academy of federal penitentiary service of russia,Israel,9
Israel,Academy of federal penitentiary service of russia,9
Academy of federal penitentiary service of russia,Italy,3
Italy,Academy of federal penitentiary service of russia,3
Academy of federal penitentiary service of russia,New zealand,3
New zealand,Academy of federal penitentiary service of russia,3
Academy of federal penitentiary service of russia,Norway,3
Norway,Academy of federal penitentiary service of russia,3
Academy of federal penitentiary service of russia,Russian federation,36
Russian federation,Academy of federal penitentiary service of russia,36
Academy of federal penitentiary service of russia,Switzerland,9
Switzerland,Academy of federal penitentiary service of russia,9
Academy of federal penitentiary service of russia,Ukraine,21
Ukraine,Academy of federal penitentiary service of russia,21
Academy of federal penitentiary service of russia,United kingdom,27
United kingdom,Academy of federal penitentiary service of russia,27
Academy of federal penitentiary service of russia,United states,54
United states,Academy of federal penitentiary service of russia,54
Academy of federal penitentiary service of russia,Vologda institute of law and economics of federal penitentiary service of russia,3
Vologda institute of law and economics of federal penitentiary service of russia,Academy of federal penitentiary service of russia,3
Academy of federal penitentiary service of russia,empty,18
empty,Academy of federal penitentiary service of russia,18
Academy of federal penitentiary service of russia,États-unis d'amérique,3
États-unis d'amérique,Academy of federal penitentiary service of russia,3
Adam mickiewicz university in poznań,Belgium,7
Belgium,Adam mickiewicz university in poznań,7
Adam mickiewicz university in poznań,Canada,39
Canada,Adam mickiewicz university in poznań,39
Adam mickiewicz university in poznań,China,5
China,Adam mickiewicz university in poznań,5
Adam mickiewicz university in poznań,College of ndu,1
College of ndu,Adam mickiewicz university in poznań,1
Adam mickiewicz university in poznań,Croatia,3
Croatia,Adam mickiewicz university in poznań,3
Adam mickiewicz university in poznań,Estonia,37
Estonia,Adam mickiewicz university in poznań,37
Adam mickiewicz university in poznań,Finland,43
Finland,Adam mickiewicz university in poznań,43
Adam mickiewicz university in poznań,Germany,74
Germany,Adam mickiewicz university in poznań,74
Adam mickiewicz university in poznań,Israel,27
Israel,Adam mickiewicz university in poznań,27
Adam mickiewicz university in poznań,Italy,27
Italy,Adam mickiewicz university in poznań,27
Adam mickiewicz university in poznań,Kazakhstan,16
Kazakhstan,Adam mickiewicz university in poznań,16
Adam mickiewicz university in poznań,Lithuania,25
Lithuania,Adam mickiewicz university in poznań,25
Adam mickiewicz university in poznań,Netherlands,24
Netherlands,Adam mickiewicz university in poznań,24
Adam mickiewicz university in poznań,Norway,10
Norway,Adam mickiewicz university in poznań,10
Adam mickiewicz university in poznań,Poland,39
Poland,Adam mickiewicz university in poznań,39
Adam mickiewicz university in poznań,Romania,8
Romania,Adam mickiewicz university in poznań,8
Adam mickiewicz university in poznań,Russian federation,182
Russian federation,Adam mickiewicz university in poznań,182
Adam mickiewicz university in poznań,Spain,6
Spain,Adam mickiewicz university in poznań,6
Adam mickiewicz university in poznań,Sweden,21
Sweden,Adam mickiewicz university in poznań,21
Adam mickiewicz university in poznań,Ukraine,34
Ukraine,Adam mickiewicz university in poznań,34
Adam mickiewicz university in poznań,United kingdom,173
United kingdom,Adam mickiewicz university in poznań,173
Adam mickiewicz university in poznań,United states,375
United states,Adam mickiewicz university in poznań,375
Adam mickiewicz university in poznań,University of washington,2
University of washington,Adam mickiewicz university in poznań,2
Adam mickiewicz university in poznań,empty,226
empty,Adam mickiewicz university in poznań,226
Afghanistan,Afghanistan,4
Afghanistan,Armenia,13
Armenia,Afghanistan,13
Afghanistan,Australia,107
Australia,Afghanistan,107
Afghanistan,Austria,17
Austria,Afghanistan,17
Afghanistan,Azerbaijan,11
Azerbaijan,Afghanistan,11
Afghanistan,Belarus,3
Belarus,Afghanistan,3
Afghanistan,Belgium,23
Belgium,Afghanistan,23
Afghanistan,Brazil,6
Brazil,Afghanistan,6
Afghanistan,Canada,108
Canada,Afghanistan,108
Afghanistan,Chile,3
Chile,Afghanistan,3
Afghanistan,China,48
China,Afghanistan,48
Afghanistan,Colombia,2
Colombia,Afghanistan,2
Afghanistan,Communication studies program at concordia university,1
Communication studies program at concordia university,Afghanistan,1
Afghanistan,Croatia,3
Croatia,Afghanistan,3
Afghanistan,Cyprus,7
Cyprus,Afghanistan,7
Afghanistan,Czech republic,39
Czech republic,Afghanistan,39
Afghanistan,Denmark,18
Denmark,Afghanistan,18
Afghanistan,Estonia,55
Estonia,Afghanistan,55
Afghanistan,Finland,49
Finland,Afghanistan,49
Afghanistan,France,46
France,Afghanistan,46
Afghanistan,Geographisches institut der universität innsbruck,1
Geographisches institut der universität innsbruck,Afghanistan,1
Afghanistan,Georgia,13
Georgia,Afghanistan,13
Afghanistan,Germany,227
Germany,Afghanistan,227
Afghanistan,Greece,11
Greece,Afghanistan,11
Afghanistan,Hong kong,10
Hong kong,Afghanistan,10
Afghanistan,Hungary,23
Hungary,Afghanistan,23
Afghanistan,India,61
