source,050010,264 bay state road,Academy of federal penitentiary service of russia,Adam mickiewicz university in poznań,Afghanistan,Aga-khan foundation in kyrgyzstan,Agentia pentru stiinta si memorie militara,Agric. and fish,Al-farabi kazakh national university,Albania,Albert-ludwigs-universität freiburg,Algeria,Allameh tabatabaei university,Almaty,American university of central asia,And a member of the board of trustees at the foreign policy research institute,Architectural studio,Argentina,Armenia,Associate member of sage (umr cnrs 7363),Austin,Australia,Austria,Azad islamic university,Azad university,Azerbaijan,Azerbaycan avrasya araştirmalari merkezi başkani,Bangladesh,Belarus,Belgium,Ben-gurion university of the negev,Berlin's humboldt university,Berliner kolleg fur vergleichende geschichte europas,Bi,Bioquímica clínica,Bosnia and herzegovina,Boston college,Boston university,Brazil,Brunei darussalam,Buddhist and tibetan studies,Buffalo state college,Bulevar revolucije 73,Bulgaria,C/o diogenes,Ca 93403-8106,Cameroon,Canada,Canada (fax: +1 613 788 4064),Case western reserve university,Caspian university,Castalia strategic advisors,Center for advanced holocaust studies,Center for the history of literature,Centre for european migration and ethnic studies (cemes),Chatham house,Chile,China,Chinese academy of social sciences,Cnrs paris-berlin,Collaborated in the research,Collabore á l'emission le dessous des cartes,College of art and design,College of letters and science,College of ndu,Colombia,Columbia university,Communication studies program at concordia university,Costa rica,Croatia,Cuba,Cyprus,Czech republic,Daffodil international university,Denmark,Departament de filologia anglesa i alemanya,Department for the humanities,Department of anthropology,Department of constitutional and municipal law of kutafin moscow state law university (msla),Department of economic and social geography of russia,Department of meimo,Department of official publications and normative documents,Department of sociology,Dept. for international development,Des minorités (gdm),Directeur du centre,Durham university,Délégation aux affaires stratégiques,Ecuador,Egypt,Ehess,Emory university,Empirica research and consultancy institute,En mission en lettonie,Eritrea,Estonia,Estonian chamber of commerce and industry,Ethiopia,Eurasia department,European centre of space law,European centre of space law and the french society of air and space law,Faculty of humanities,Faculty of polish philology,Faculty of social sciences,Financial institutes of kfu,Finland,Florida intl. university foundation,France,Freie universität berlin,French polynesia,Friedrich-schiller-univ. jena,Gambia,Geographisches institut der universität innsbruck,Georgetown university,Georgia,German multinational company,Germany,Greece,Gustave eiffel (université paris xii),Hamburger institute für sozialforschung,Hankuk university of foreign studies,Harvard university,Head of the press service at the institute of social and philosophical sciences and mass communications of kazan (volga region) federal university,Hebrew university of jerusalem,History and theory of culture,Hong kong,Humboldt university,Hungary,Høgskolen i lillehammer,Ibm,Iceland,Ii. rákóczi ferenc kárpátaljai magyar főiskola,Inalco,Independent researcher,Independent scholar affiliated with yad vashem,India,Indonesia,Institut de recherche pour le développement (ird),Institut für ge-schichtswissenschaften & europäische ethnologie,Institut für slawistik und hungarologie,Institut für sozialforschune im arbeitsbereich theorie und geschichte der gewalt,Institute of cultural heritage,Institute of political sciences at ilia state university,Institute of world history ras,International and energy studies,International centre for the history and sociology of world war ii and its consequences,International economic law,International eurasian movement,International law association,International union against tuberculosis and lung disease (iuatld),Intervenant en économie à l'essca,Iran,Iraq,Ireland,Iris,Islamic azad university,Ispru,Israel,Isu,Italy,Jadara university,Japan,Jordan,Jsc financial academy,Justus liebig university giessen,Kazakhstan,Kazakhstan astana university miras kazakhstan kazakh national pedagogical university named after abai kazakhstan,Kazan,Kazan (volga region) federal university,Kazan federal university,Kellogg college,Kenya,King's college london,Komazawa university,Kuwait,Kyiv national university of trade and economics,Kyrgyzstan,L.n. gumilyov eurasian national university,La trobe university,Laboratoire de recherche historique rhône-alpes (larhra),Laboratoire de sociologie quantitative (crest-insee),Latvia,Leah greenspan advertising and marketing ltd,Lebanon,Liberia,Lithuania,London school of economics,Los angeles,Ludwig-maximilians university munich,Luxembourg,Ma 01063,Macao,Madagascar,Malaysia,Malta,Mariupol state university,Massachusetts institute of technology,Metropolitan state college of denver,Mexico,Meyers-jdc-brookdale jerusalem,Ministry of foreign affairs,Moldova,Monaco,Mongolia,Montenegro,Morocco,Moscow,Moscow state institute of international relations (mgimo university),Mozambique,Murmansk advanced teachers' college,Museum and documentation center ebreji latvij,Myanmar,National archives and records administration,National institute of water and atmospheric research (niwa,National research university - higher school of economics,National research university higher school of economics,National university lviv polytechnic,National university odessa law academy,National university of singapore,Naval postgraduate school,Nazarbayev university,Netherlands,Netherlands institute for war documentation,New york city,New zealand,Nigeria,North macedonia,Norway,Oman,Osi public health program,Oxford brookes university,Oxford university,P. i. tchaikovsky moscow state conservatoire,Pacific state university,Pakistan,Palestine,Pamukkale un. fef cagdas turk lehceleri ve edebiyatlari bolumu,Paris,Peru,Philippines,Poland,Polish academy of sciences,Portugal,Pro moldova association of historians and political scientists,Promotion/protection of human rights,Qatar,Queen's university,Rand drug policy research center,Ras,Republic of karachai-cherkessia,Research institute of the evangelical lutheran church of finland,Romania,Russian academy of sciences,Russian federation,Russian language teaching methodology institute of philology of moscow state pedagogical university,Saint petersburg state university,San diego state university,Saudi arabia,School of architecture,School of arts &amp,School of humanities and social sciences,School of law,School of modern languages,Science politique a l'inalco,Senegal,Serbia,Sh. yessenov caspian state university of technologies and engineering,Shahid bahonar university of kerman,She is a fellow at the european foundation for democracy. she earned her ph.d. at george mason university,Siece,Sierra leone,Singapore,Slovakia,Slovenia,Slupsku-instytut filologii akademii pomorskiej w slupsku,Soas,Somalia,South africa,South china normal university,South korea,Southeast missouri state university,Spain,Spbu,Sri lanka,St. david's university college,Staatliche technische universität irkutsk,Stanford university,State classical academy,State university,Swaziland,Sweden,Switzerland,Syrian arab republic,Taiwan,Tajikistan,Tallinn university,Tanzania,Taraz innovative humanitarian university,Tarih anabilim dali,Tartu u7die,Tatar state humanitarian and pedagogical university,Tate gallery of modern art,Technical university of berlin,Technische universität münchen,Telewizyjna i teatralna im. leona schillera w łodzi,Texas a and m university,Texas aandm university-corpus christi,Thailand,The birsk branch of the bashkir state university,The economic policy and research center dubai economic council,The george washington university,The ministry of foreign affairs of the russian federation,The new school for social research,The “bath house readings”,Transylvania university,Trinidad and tobago,Tu chemnitz,Tunisia,Turkey,Turkmenistan,Tuvalu,U.s. department of justice,U.s. naval academy,Ucm/instituto de filosofía csic,Uit: the arctic university of norway,Uk,Ukraine,Umr 7220,United arab emirates,United kingdom,United states,United states holocaust memorial museum,Universidad de sevilla,Universiteit utrecht,University at albany state university of new york,University college london,University of arizona,University of basel,University of birmingham,University of bologna,University of bristol,University of calabria,University of central asia,University of delaware,University of florida,University of groningen,University of guilan,University of haifa,University of helsinki,University of islamic sciences,University of kansas,University of latvia,University of leeds,University of london,University of manchester,University of melbourne,University of miami school of architecture,University of michigan,University of minnesota,University of nantes,University of north texas,University of otago,University of pisa,University of pittsburgh,University of rome iii,University of southampton,University of southern california,University of tarbiat modares,University of tehran,University of tennessee,University of toronto,University of tulsa,University of turin,University of tübingen,University of wales swansea,University of washington,University of waterloo,University of wisconsin-madison,University of wolverhampton,University of wyoming,Université des antilles et de la guyane,Université robert schuman,Univerzita konštantína filozofa v nitre filozofická fakulta,Uniwersytet europejski viadrina we frankfurcie n. odra&cedil,Uniwersytet jagielloński w krakowie,Uniwersytet kazimierza wielkiego,Uniwersytet przyrodniczo-humanistyczny w siedlcach,Uppsala university,Uruguay,Us department of state,Uzbekistan,Uzhhorod national university,V.i. vernadsky crimean federal university,Venezuela,Victoria university,Vidal sassoon international center for the study of antisemitism,Viet nam,Villanova university,Vologda institute of law and economics of federal penitentiary service of russia,Vytautas magnus university,Warsaw school for social psychology,World bank,World trade institute,Yale university,York university,Zambia,empty,États-unis d'amérique,Πανεπιστήμιο διεθνών σχέσεων
050010,10.0,,,,,,,,,,,,,,,,,,,,,35.0,,,,10.0,,,,5.0,,,,,,,,,20.0,,,,,,,,,65.0,,,,,,,,,,15.0,,,,,,,,10.0,,,,,10.0,,20.0,,10.0,,,,,,,,,,,,5.0,,,,,,,,,80.0,,,,,,,,,,35.0,,5.0,,,,,,,,,80.0,,,,,,,,,5.0,,5.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,5.0,5.0,,,,20.0,,25.0,,5.0,,,,10.0,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,5.0,,,5.0,,,,,,,,,,35.0,,,,,,,,5.0,,,5.0,,230.0,,,,,,,,,,,5.0,5.0,,,,,,,5.0,5.0,,,,,,5.0,,5.0,,,,,,,,,15.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,340.0,445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.0,,
264 bay state road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,
Academy of federal penitentiary service of russia,,,3.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,15.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,27.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,18.0,3.0,
Adam mickiewicz university in poznań,,,,,,,,,,,,,,,,,,,,,,22.0,16.0,,,,,,2.0,7.0,,,,,,,,,1.0,,,,,2.0,,,,39.0,1.0,,,,,1.0,,,,5.0,,,,,,1.0,1.0,,1.0,,,3.0,,,7.0,,8.0,,1.0,,,,,,,,,,1.0,,,,,,,,,37.0,,,,,,,,,,43.0,,26.0,,,,,,,2.0,,74.0,3.0,,,,1.0,,,,4.0,,7.0,,,2.0,,1.0,,,4.0,2.0,,,1.0,,,,,,1.0,,,,,,1.0,,4.0,,,,27.0,,27.0,,4.0,,,,16.0,,,,,,,,,,,2.0,,,,,11.0,,,,25.0,,,,,,,,3.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,24.0,,,7.0,,,10.0,,,,2.0,,,,,,,,,39.0,,,,,,,,,,,8.0,,182.0,,,,,,,,,1.0,,,2.0,,,,,,3.0,3.0,,,,,3.0,,3.0,,6.0,,,,,,,,,21.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,34.0,,2.0,173.0,375.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,226.0,,
Afghanistan,,,,,4.0,,,,,,,,,,,,,,13.0,,,107.0,17.0,,,11.0,,,3.0,23.0,,,1.0,,,,1.0,,6.0,,,,,2.0,,,1.0,108.0,1.0,,,,,,,1.0,3.0,48.0,1.0,,,,,,,2.0,,1.0,,3.0,2.0,7.0,39.0,,18.0,,,2.0,,,,,,,,,,,,4.0,,,,,,55.0,,,,,,,,,,49.0,,46.0,,,,1.0,1.0,1.0,13.0,,227.0,11.0,,,,,,,,10.0,,23.0,,,,,,,,61.0,,,,,,,,,,,,,,,,8.0,1.0,17.0,,,,83.0,,67.0,,38.0,,,,118.0,,,,,,,,,,,25.0,,,,,11.0,,2.0,,15.0,,,1.0,,,1.0,,22.0,,,,,2.0,,,3.0,,2.0,,2.0,,,,,,,,,,,,,,,,82.0,,,8.0,1.0,,28.0,,,,,,,47.0,,,,,,28.0,,16.0,,,4.0,,,,2.0,,15.0,,236.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,12.0,3.0,5.0,,1.0,,7.0,,6.0,,12.0,,,,,1.0,,,,139.0,45.0,,3.0,6.0,,,,,,,,,,,,,,,,,,2.0,,,2.0,,2.0,59.0,,2.0,,,,,,43.0,,5.0,596.0,1314.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,1.0,21.0,,,,,,1.0,,,,,,,,,,679.0,,
Aga-khan foundation in kyrgyzstan,,,,,,1.0,,,,,,,,,,,,,2.0,,,10.0,10.0,,,2.0,,,,4.0,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,2.0,,4.0,,,,,,,,,,,,,,,,,,4.0,,,10.0,,,,,,,,,,34.0,2.0,6.0,,,,,,,6.0,,32.0,4.0,,,,,,2.0,,4.0,,6.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,2.0,,,,20.0,,2.0,,12.0,,,,104.0,,,,,,,,,2.0,,8.0,,,,,2.0,,,,6.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,2.0,,,2.0,,,,,,,4.0,,,,,,2.0,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,6.0,,,,,,,,,8.0,10.0,,2.0,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,68.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,,
Agentia pentru stiinta si memorie militara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
Agric. and fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-farabi kazakh national university,,,,,,,,,1.0,,,2.0,,,,,,,6.0,,,40.0,26.0,,,12.0,,,2.0,26.0,,,,,,,,,2.0,,,,,,,,,50.0,,,,,,,,,,26.0,,,,,,,,,,,,2.0,,2.0,36.0,,8.0,,,,,,,,,,,,,,,,,,,,,18.0,,,2.0,,,,,,,50.0,,36.0,,,,,,,18.0,,128.0,4.0,,,,,,,,8.0,,6.0,,,,,,2.0,,26.0,,2.0,,,,,,,,,,,,,,16.0,,14.0,,,,36.0,,42.0,,18.0,,,,356.0,,,,,,,,,,,18.0,,,,,6.0,,,,4.0,,,,,,2.0,,4.0,,,,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,68.0,,,,,,38.0,,,,,,,2.0,,,,,,26.0,,8.0,,,,,,,,,4.0,,312.0,,,,,,,2.0,,,,,,,,,,,2.0,6.0,,,,,4.0,,8.0,,16.0,,,2.0,,,,,,70.0,32.0,,2.0,2.0,,,,,,,,,,,,,,,,,,4.0,,,,,,32.0,2.0,,,,,,,34.0,,6.0,316.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,336.0,,
Albania,,,,,,,,,,3.0,,2.0,,,,,,7.0,22.0,,,128.0,57.0,,,30.0,,3.0,8.0,36.0,,1.0,,,,1.0,,,7.0,,,,,6.0,,,1.0,181.0,4.0,,,,,,,1.0,3.0,89.0,,,,,,,1.0,4.0,,1.0,1.0,2.0,3.0,1.0,86.0,,26.0,,,,,,,,1.0,,,,,,2.0,3.0,,,,,,172.0,,2.0,1.0,,,,,,,93.0,1.0,66.0,,,,,2.0,,51.0,,411.0,22.0,,,,2.0,,2.0,,20.0,,60.0,,,1.0,,,,,33.0,2.0,,1.0,,,,2.0,,,2.0,,,,,1.0,12.0,2.0,45.0,,,,164.0,,104.0,,45.0,1.0,,,103.0,,,,,1.0,,,1.0,3.0,,15.0,,,,,37.0,,2.0,,95.0,,,1.0,3.0,,1.0,3.0,8.0,2.0,,,,4.0,,,7.0,1.0,8.0,1.0,,,,,2.0,,,,1.0,,2.0,,,,,,99.0,,,14.0,10.0,1.0,58.0,,,,,,,6.0,,,,,2.0,100.0,,12.0,,,3.0,,,,,,25.0,,656.0,,,,4.0,,1.0,1.0,,,,1.0,10.0,,,,,,9.0,12.0,19.0,,,,23.0,,20.0,,25.0,,,,,,,,1.0,139.0,60.0,,2.0,2.0,,1.0,,,,,,,,,,,1.0,,,,,,,,2.0,,1.0,41.0,,,,,,,,93.0,1.0,4.0,888.0,1788.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,2.0,,,,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,1.0,,,,,,1.0,,14.0,,1.0,,,,1.0,,,,1.0,,,,1.0,,971.0,,
