source,target,weight
FSUS,Soviet_self,30.9
Soviet_self,FSUS,30.9
FSUS,Canada,1.1
FSUS,China,0.9
FSUS,Finland,1.5
FSUS,France,0.8
FSUS,Germany,3.6
FSUS,Israel,0.4
FSUS,Italy,1.3
FSUS,Netherlands,0.8
FSUS,Poland,1.2
FSUS,Russia,29.2
FSUS,Sweden,1.3
FSUS,UK,5.3
FSUS,USA,10.9
Canada,FSUS,0.3
Canada,Canada_self,5.3
Canada_self,Canada,5.3
Canada,China,1.5
Canada,Finland,1.1
Canada,France,1.5
Canada,Germany,4.8
Canada,Israel,3.8
Canada,Italy,1.6
Canada,Netherlands,1.2
Canada,Poland,1.0
Canada,Russia,12.9
Canada,Sweden,1.2
Canada,UK,11.0
Canada,USA,29.3
China,Canada,1.8
China,China_self,15.4
China_self,China,15.4
China,Finland,0.5
China,France,1.0
China,Germany,4.1
China,Israel,0.2
China,Italy,2.0
China,Netherlands,0.5
China,Poland,0.7
China,Russia,22.4
China,Sweden,0.7
China,UK,6.7
China,USA,18.6
Finland,FSUS,0.3
Finland,Canada,1.2
Finland,China,0.4
Finland,Finland_self,5.0
Finland_self,Finland,5.0
Finland,France,0.9
Finland,Germany,3.4
Finland,Israel,1.8
Finland,Italy,0.4
Finland,Netherlands,0.5
Finland,Poland,0.4
Finland,Russia,44.7
Finland,Sweden,1.9
Finland,UK,6.2
Finland,USA,10.9
France,FSUS,0.4
France,Canada,1.9
France,China,1.0
France,Finland,1.1
France,France_self,10.6
France_self,France,10.6
France,Germany,5.9
France,Israel,0.8
France,Italy,1.6
France,Netherlands,1.2
France,Poland,1.5
France,Russia,18.0
France,Sweden,2.0
France,UK,8.6
France,USA,20.2
Germany,FSUS,0.4
Germany,Canada,1.9
Germany,China,1.3
Germany,Finland,1.2
Germany,France,1.9
Germany,Germany_self,12.9
Germany_self,Germany,12.9
Germany,Israel,3.5
Germany,Italy,1.3
Germany,Netherlands,1.6
Germany,Poland,1.8
Germany,Russia,13.3
Germany,Sweden,1.7
Germany,UK,8.7
Germany,USA,18.3
Israel,FSUS,0.1
Israel,Canada,4.4
Israel,China,0.2
Israel,Finland,1.9
Israel,France,0.7
Israel,Germany,10.3
Israel,Israel_self,36.1
Israel_self,Israel,36.1
Israel,Italy,0.3
Israel,Netherlands,0.7
Israel,Poland,0.7
Israel,Russia,8.2
Israel,Sweden,0.2
Israel,UK,4.4
Israel,USA,19.2
Italy,FSUS,3.4
Italy,Canada,2.2
Italy,China,2.3
Italy,Finland,0.5
Italy,France,1.8
Italy,Germany,4.7
Italy,Israel,0.4
Italy,Italy_self,7.3
Italy_self,Italy,7.3
Italy,Netherlands,0.8
Italy,Poland,1.8
Italy,Russia,12.6
Italy,Sweden,1.4
Italy,UK,10.1
Italy,USA,21.0
Netherlands,FSUS,0.1
Netherlands,Canada,2.2
Netherlands,China,0.8
Netherlands,Finland,0.9
Netherlands,France,1.8
Netherlands,Germany,7.8
Netherlands,Israel,1.1
Netherlands,Italy,1.0
Netherlands,Netherlands_self,6.0
Netherlands_self,Netherlands,6.0
Netherlands,Poland,6.0
Netherlands,Russia,12.8
Netherlands,Sweden,2.4
Netherlands,UK,11.0
Netherlands,USA,20.6
Poland,FSUS,0.8
Poland,Canada,1.5
Poland,China,0.8
Poland,Finland,0.5
Poland,France,1.8
Poland,Germany,6.9
Poland,Israel,1.0
Poland,Italy,1.9
Poland,Netherlands,0.8
Poland,Poland_self,10.1
Poland_self,Poland,10.1
Poland,Russia,15.7
Poland,Sweden,1.6
Poland,UK,7.4
Poland,USA,14.1
Russia,FSUS,0.7
Russia,Canada,0.9
Russia,China,1.2
Russia,Finland,2.7
Russia,France,1.0
Russia,Germany,2.2
Russia,Israel,0.5
Russia,Italy,0.6
Russia,Netherlands,0.5
Russia,Poland,0.7
Russia,Russia_self,54.0
Russia_self,Russia,54.0
Russia,Sweden,0.5
Russia,UK,3.5
Russia,USA,8.7
Sweden,FSUS,0.9
Sweden,Canada,1.6
Sweden,China,0.8
Sweden,Finland,2.3
Sweden,France,2.1
Sweden,Germany,5.7
Sweden,Israel,0.3
Sweden,Italy,1.3
Sweden,Netherlands,1.7
Sweden,Poland,1.4
Sweden,Russia,10.9
Sweden,Sweden_self,11.3
Sweden_self,Sweden,11.3
Sweden,UK,8.6
Sweden,USA,17.9
UK,FSUS,0.2
UK,Canada,2.6
UK,China,1.3
UK,Finland,1.4
UK,France,1.7
UK,Germany,5.3
UK,Israel,0.9
UK,Italy,1.7
UK,Netherlands,1.4
UK,Poland,1.2
UK,Russia,12.8
UK,Sweden,1.5
UK,UK_self,11.7
UK_self,UK,11.7
UK,USA,26.6
USA,FSUS,0.4
USA,Canada,3.2
USA,China,1.7
USA,Finland,1.1
USA,France,1.8
USA,Germany,5.0
USA,Israel,1.8
USA,Italy,1.6
USA,Netherlands,1.2
USA,Poland,1.0
USA,Russia,14.4
USA,Sweden,1.5
USA,UK,12.1
USA,USA_self,26.6
USA_self,USA,26.6
