name,id,label,size
FSUS,FSUS,FSUS,24581
Soviet_self,Soviet_self,,0
Canada,Canada,Canada,3086
Canada_self,Canada_self,,0
China,China,China,2592
China_self,China_self,,0
Finland,Finland,Finland,2843
Finland_self,Finland_self,,0
France,France,France,2511
France_self,France_self,,0
Germany,Germany,Germany,7861
Germany_self,Germany_self,,0
Israel,Israel,Israel,2677
Israel_self,Israel_self,,0
Italy,Italy,Italy,2535
Italy_self,Italy_self,,0
Netherlands,Netherlands,Netherlands,1662
Netherlands_self,Netherlands_self,,0
Poland,Poland,Poland,2053
Poland_self,Poland_self,,0
Russia,Russia,Russia,46842
Russia_self,Russia_self,,0
Sweden,Sweden,Sweden,2349
Sweden_self,Sweden_self,,0
UK,UK,UK,12973
UK_self,UK_self,,0
USA,USA,USA,28492
USA_self,USA_self,,0
